landslides_polygons$id,mean.tch,sd.tch,mean.slope,mean.tri,tri.10m,elev,elev.km,ls.northing,ls.easting,insol.dsm,insol.kw,insol,agb,year,age,surface.area,perimeter,elev.mean.tch,max.tch.buf,rem
94,1.591444771,1.802240598,48.16828739,1.827421158,8.338792801,2907.87791,2.90787791,0.839530679,0.44795274,1018458.914,1018.458914,2.790298395,9.418328315,2002,11,2415.639653,233.9902764,11.76322762,8.615234375,0
95,2.572925421,2.686988975,47.24051491,1.869587229,9.137982178,2774.893279,2.774893279,0.421409536,0.800365442,821667.9111,821.6679111,2.251144962,20.95677915,2007,6,1746.681448,258.9268692,11.92033317,7.385253906,0
96,1.672995107,1.909909866,42.89251458,1.495028756,7.29650116,2796.754389,2.796754389,0.956710282,0.163630873,1006739.482,1006.739482,2.758190363,9.40978545,2007,6,1509.978826,263.0073638,11.89450687,4.511474609,0
97,2.935228391,2.892299825,49.93271855,1.908534598,9.27059757,2797.330544,2.797330544,0.918057617,-0.211455163,1029418.443,1029.418443,2.820324501,17.81371941,2003,10,3027.490822,288.9477617,11.89382621,14.05395508,1
98,3.547505981,3.449293592,45.5193816,1.654900391,7.972801395,2845.029999,2.845029999,0.895552633,-0.315439647,1171078.794,1171.078794,3.208435052,20.09781282,2000,13,5981.489082,451.7602921,11.83747497,15.15625,1
99,2.365079726,2.038377365,48.28215868,1.808976619,9.061296251,2870.925708,2.870925708,0.815148704,0.471588484,866836.1875,866.8361875,2.374893664,19.77012142,2011,2,1408.61129,281.661033,11.80688226,4.086181641,0
101,1.539676528,1.516006219,47.03995532,1.713300486,8.189114889,2763.085528,2.763085528,0.498351793,0.780901527,1015420.319,1015.420319,2.781973477,19.01148991,2008,5,1463.663758,226.1172022,11.93428263,3.635498047,0
102,6.494375502,5.280721111,46.13395747,1.776370977,8.463803805,2647.309429,2.647309429,-0.862088715,0.268774982,974116.5047,974.1165047,2.668812342,41.67842132,2001,12,47049.47705,1036.352555,12.07105835,33.06274414,1
103,8.151313359,7.333464457,48.27188583,1.86848996,8.850802731,2661.648661,2.661648661,0.860301556,-0.077668363,939891.8813,939.8918813,2.57504625,57.72783013,2001,12,12496.25306,841.2242549,12.05411825,45.51904297,1
104,10.50497065,3.277631007,43.9633065,1.555942833,7.443510636,2805.329422,2.805329422,0.882539082,-0.346882543,1178849.841,1178.849841,3.229725591,72.21681379,2003,10,3273.654021,255.2649616,11.88437649,21.06298828,1
105,14.90441442,4.681866312,46.25340861,1.663759925,8.115482215,2990.027787,2.990027787,0.396261878,0.823534743,1234039.388,1234.039388,3.380929831,117.3105228,1988,25,5050.538808,327.2546088,11.66617729,29.90380859,1
106,4.677249557,3.05537724,29.73231658,0.914176979,4.309533691,3006.806356,3.006806356,0.889349741,-0.273570931,1372630.105,1372.630105,3.760630424,30.62097047,2003,10,2836.647853,307.5535314,11.6463554,13.10498047,1
107,8.92204738,5.100823346,43.80581522,1.582455847,7.595830744,2658.833672,2.658833672,0.77662693,0.088716437,981033.9196,981.0339196,2.687764163,61.56675965,2001,12,7823.867398,359.2254737,12.05744382,30.515625,1
108,1.621954849,1.207048999,38.57398674,1.278541765,6.338512966,3094.623154,3.094623154,0.931404798,-0.058672401,1414706.146,1414.706146,3.875907249,9.131401845,2011,2,3818.262324,486.9517986,11.49766914,10.55761719,0
109,2.820498971,3.91571137,39.81258532,1.322069585,6.462282735,3086.863178,3.086863178,0.721101362,-0.359362521,1235910.519,1235.910519,3.386056217,20.71950061,2011,2,8227.007151,947.811321,11.55177777,12.03808594,1
110,3.56834564,2.554900631,40.31837182,1.335811389,6.190444946,3142.490845,3.142490845,0.887451898,0.31735142,1528091.432,1528.091432,4.186551869,23.30723124,2001,12,1907.437366,291.1816326,10.61685608,10.64379883,1
111,6.673571657,5.414357364,44.84555055,1.605252934,7.478155283,2888.940706,2.888940706,0.944454832,0.20940335,1164456.124,1164.456124,3.19029075,45.96281833,2001,12,3707.994806,255.7558512,11.78559968,22.18505859,1
112,1.601718815,2.337688081,39.25328032,1.287235237,6.088917324,3008.016636,3.008016636,-0.189374377,0.726802742,1019173.212,1019.173212,2.792255375,11.45228466,2001,12,1786.858979,258.8344157,11.6449256,8.479492188,0
113,4.253594729,3.515711316,38.44778028,1.259844831,6.171697546,3310.430635,3.310430635,-0.180225152,0.929105675,1533198.505,1533.198505,4.20054385,26.35407546,2001,12,3885.887042,380.8382754,7.526597144,12.70410156,1
114,4.646072709,6.353490157,42.49218289,1.496965953,6.950434908,3099.444571,3.099444571,0.451955084,0.690343773,1245037.56,1245.03756,3.411061808,32.46411568,2001,12,6487.234716,372.2317759,11.40895028,34.56201172,1
